recipe_id,recipe_name,ingredient,category,quantity_g,is_optional,can_substitute,substitute,prep_time_min,cook_time_min,servings,cuisine,difficulty,meal_type
11,French Toast,milk,Dairy,120,False,False,,13,7,6,International,easy,drink
11,French Toast,butter,Dairy,51,False,False,,20,51,5,Indian,easy,drink
12,Cheese Omelette,egg,Protein,177,False,False,olive_oil,6,31,1,Indian,easy,dinner
12,Cheese Omelette,cheese,Dairy,37,False,False,peas,38,48,5,Fusion,hard,dinner
12,Cheese Omelette,bell_pepper,Vegetable,184,True,False,,35,17,3,Mediterranean,easy,lunch
12,Cheese Omelette,onion,Vegetable,104,False,True,,26,60,3,Fusion,hard,snack
13,Tuna Salad,tuna,Protein,94,False,False,,7,16,1,International,hard,breakfast
13,Tuna Salad,lettuce,Vegetable,152,False,False,,42,37,3,Fusion,medium,lunch
13,Tuna Salad,tomato,Vegetable,195,False,True,,16,17,4,Indian,easy,dinner
13,Tuna Salad,cucumber,Vegetable,72,False,False,,25,60,6,Fusion,medium,breakfast
13,Tuna Salad,lemon,Fruit,72,True,False,,10,24,5,Indian,hard,breakfast
14,Chickpea Curry,chickpeas,Legume,232,False,True,bread,43,30,6,Mediterranean,medium,snack
14,Chickpea Curry,tomato,Vegetable,111,False,False,,39,14,5,Indian,hard,snack
14,Chickpea Curry,onion,Vegetable,209,False,False,yogurt,38,19,1,Fusion,hard,lunch
14,Chickpea Curry,garlic,Vegetable,100,False,True,,12,4,5,Indian,easy,dinner
14,Chickpea Curry,spinach,Vegetable,132,False,False,,32,38,2,Fusion,medium,lunch
15,Mushroom Omelette,egg,Protein,48,True,False,apple,33,10,1,Fusion,easy,drink
15,Mushroom Omelette,mushroom,Vegetable,62,True,True,strawberry,26,18,4,Fusion,hard,drink
15,Mushroom Omelette,onion,Vegetable,113,False,False,,35,22,2,Fusion,easy,breakfast
15,Mushroom Omelette,cheese,Dairy,48,False,False,pasta,20,20,4,Indian,medium,breakfast
16,Carrot Lemon Soup,carrot,Vegetable,150,False,True,,28,15,2,Mediterranean,hard,lunch
16,Carrot Lemon Soup,lemon,Fruit,199,False,False,pineapple,14,52,2,Indian,hard,breakfast
16,Carrot Lemon Soup,onion,Vegetable,197,False,False,,7,3,4,Fusion,easy,lunch
16,Carrot Lemon Soup,garlic,Vegetable,128,False,False,,18,10,2,Mediterranean,medium,breakfast
16,Carrot Lemon Soup,potato,Vegetable,216,False,True,,13,37,3,Fusion,easy,dinner
17,Garlic Mushroom Toast,bread,Grain,153,False,True,,23,59,4,International,hard,lunch
17,Garlic Mushroom Toast,mushroom,Vegetable,194,False,False,bread,29,2,6,International,easy,lunch
17,Garlic Mushroom Toast,garlic,Vegetable,68,False,False,rice,27,33,2,Fusion,hard,dinner
17,Garlic Mushroom Toast,butter,Dairy,201,False,False,tuna,37,51,6,Indian,hard,drink
18,Cauliflower Rice,cauliflower,Vegetable,51,False,False,,14,18,6,International,medium,breakfast
18,Cauliflower Rice,garlic,Vegetable,237,False,False,,27,51,5,Mediterranean,medium,lunch
18,Cauliflower Rice,onion,Vegetable,65,False,False,walnut,44,14,5,Mediterranean,medium,drink
18,Cauliflower Rice,egg,Protein,170,True,True,,16,39,2,Mediterranean,medium,snack
19,Tuna Salad,tuna,Protein,124,False,True,,22,49,6,Fusion,medium,dinner
19,Tuna Salad,lettuce,Vegetable,217,False,False,,34,58,2,Mediterranean,easy,snack
19,Tuna Salad,tomato,Vegetable,173,False,False,carrot,39,13,2,Mediterranean,hard,dinner
19,Tuna Salad,cucumber,Vegetable,125,False,False,,19,31,5,Fusion,easy,lunch
19,Tuna Salad,lemon,Fruit,182,False,False,potato,26,13,1,International,medium,dinner
20,Lentil Soup,lentils,Legume,127,False,False,,27,53,4,Indian,medium,snack
20,Lentil Soup,carrot,Vegetable,57,False,False,,10,41,5,International,easy,lunch
20,Lentil Soup,onion,Vegetable,89,False,True,,28,21,1,Indian,easy,dinner
20,Lentil Soup,garlic,Vegetable,225,False,True,,20,46,3,Indian,easy,lunch
20,Lentil Soup,tomato,Vegetable,142,False,False,pasta,45,41,2,International,easy,breakfast
21,Chicken Stir Fry,chicken,Protein,88,False,False,lemon,45,27,1,Mediterranean,hard,snack
21,Chicken Stir Fry,broccoli,Vegetable,191,False,False,,31,26,2,Indian,medium,breakfast
21,Chicken Stir Fry,carrot,Vegetable,189,False,False,cream,31,51,2,Mediterranean,medium,snack
21,Chicken Stir Fry,garlic,Vegetable,173,False,False,,26,36,1,Indian,easy,lunch
21,Chicken Stir Fry,bell_pepper,Vegetable,188,False,False,,38,55,2,Fusion,easy,drink
22,Fruit Salad,apple,Fruit,67,False,False,chickpeas,29,38,3,Mediterranean,easy,lunch
22,Fruit Salad,banana,Fruit,44,False,True,walnut,5,54,4,Fusion,easy,lunch
22,Fruit Salad,grape,Fruit,73,False,False,,43,4,1,Mediterranean,medium,dinner
22,Fruit Salad,strawberry,Fruit,204,False,False,,29,18,6,Fusion,medium,dinner
22,Fruit Salad,kiwi,Fruit,184,False,True,,28,59,5,Mediterranean,hard,lunch
23,Salmon Rice Bowl,salmon,Protein,179,True,False,cauliflower,5,12,2,International,medium,breakfast
23,Salmon Rice Bowl,rice,Grain,220,True,False,,39,19,6,International,hard,breakfast
23,Salmon Rice Bowl,cucumber,Vegetable,81,False,True,,12,56,1,Fusion,easy,drink
23,Salmon Rice Bowl,avocado,Fruit,162,False,False,walnut,15,39,6,Indian,medium,dinner
23,Salmon Rice Bowl,lemon,Fruit,71,False,False,almond,31,7,4,Indian,easy,breakfast
24,Broccoli Cheese Soup,broccoli,Vegetable,189,False,True,,40,39,6,International,hard,drink
24,Broccoli Cheese Soup,cheese,Dairy,73,True,False,,11,2,1,Fusion,easy,breakfast
24,Broccoli Cheese Soup,milk,Dairy,136,False,False,,37,19,5,Mediterranean,hard,breakfast
24,Broccoli Cheese Soup,onion,Vegetable,102,False,False,,42,28,6,Mediterranean,hard,snack
24,Broccoli Cheese Soup,garlic,Vegetable,246,False,False,strawberry,8,38,3,Fusion,easy,breakfast
25,Peach Yogurt Parfait,peach,Fruit,216,False,False,,13,8,2,Mediterranean,medium,lunch
25,Peach Yogurt Parfait,yogurt,Dairy,72,False,True,,16,41,6,Fusion,easy,snack
25,Peach Yogurt Parfait,oats,Grain,126,False,True,,34,58,3,Indian,hard,dinner
25,Peach Yogurt Parfait,almond,Nut,109,False,False,,10,31,6,Fusion,hard,drink
26,Zucchini Pasta,pasta,Grain,247,False,False,,9,25,1,Mediterranean,hard,drink
26,Zucchini Pasta,zucchini,Vegetable,151,False,False,,19,47,1,Mediterranean,easy,snack
26,Zucchini Pasta,tomato,Vegetable,71,False,False,,28,34,3,International,medium,lunch
26,Zucchini Pasta,garlic,Vegetable,183,True,False,kiwi,37,39,5,Indian,easy,lunch
26,Zucchini Pasta,cheese,Dairy,175,False,False,,16,43,2,International,hard,dinner
27,Mushroom Omelette,egg,Protein,139,True,True,,13,14,3,International,easy,snack
27,Mushroom Omelette,mushroom,Vegetable,107,True,True,,14,12,1,Fusion,medium,snack
27,Mushroom Omelette,onion,Vegetable,230,False,False,,30,6,6,International,medium,breakfast
27,Mushroom Omelette,cheese,Dairy,154,False,False,cream,24,15,5,International,hard,drink
28,Apple Banana Smoothie,apple,Fruit,93,False,False,,29,27,5,Indian,easy,snack
28,Apple Banana Smoothie,banana,Fruit,200,False,False,egg,27,7,6,Indian,medium,snack
28,Apple Banana Smoothie,milk,Dairy,199,False,False,,14,17,4,Mediterranean,hard,drink
28,Apple Banana Smoothie,yogurt,Dairy,113,False,False,,24,50,4,International,medium,dinner
29,Peach Yogurt Parfait,peach,Fruit,203,False,False,peach,35,53,4,Fusion,medium,drink
29,Peach Yogurt Parfait,yogurt,Dairy,222,False,False,lentils,23,51,3,Mediterranean,medium,lunch
29,Peach Yogurt Parfait,oats,Grain,105,False,False,,15,2,1,Indian,easy,snack
29,Peach Yogurt Parfait,almond,Nut,199,False,True,,15,46,6,Indian,easy,snack
30,Carrot Lemon Soup,carrot,Vegetable,202,False,False,spinach,31,47,3,International,medium,lunch
30,Carrot Lemon Soup,lemon,Fruit,47,False,False,,35,8,4,Mediterranean,medium,drink
30,Carrot Lemon Soup,onion,Vegetable,170,False,True,,14,46,6,Indian,easy,breakfast
30,Carrot Lemon Soup,garlic,Vegetable,98,False,True,,34,36,1,Indian,hard,breakfast
30,Carrot Lemon Soup,potato,Vegetable,63,False,False,,16,15,5,Fusion,easy,drink
31,Peach Yogurt Parfait,peach,Fruit,116,False,True,,15,31,1,Indian,easy,snack
31,Peach Yogurt Parfait,yogurt,Dairy,81,True,False,almond,39,3,4,Mediterranean,medium,snack
31,Peach Yogurt Parfait,oats,Grain,99,False,False,,7,42,6,Mediterranean,medium,breakfast
31,Peach Yogurt Parfait,almond,Nut,132,False,True,,21,58,4,International,medium,breakfast
32,Green Smoothie,spinach,Vegetable,72,False,True,,28,9,2,Mediterranean,medium,drink
32,Green Smoothie,banana,Fruit,156,False,False,butter,26,17,3,Indian,medium,drink
32,Green Smoothie,apple,Fruit,82,False,False,,18,32,6,Indian,easy,lunch
32,Green Smoothie,lemon,Fruit,112,False,False,,18,27,1,Mediterranean,easy,breakfast
33,French Toast,bread,Grain,156,False,True,,7,40,4,Indian,medium,lunch
33,French Toast,egg,Protein,150,False,False,,7,15,1,Mediterranean,hard,snack
33,French Toast,milk,Dairy,141,True,False,potato,32,1,1,Fusion,medium,drink
33,French Toast,butter,Dairy,224,False,True,,41,12,3,Fusion,hard,drink
34,Veggie Stir Fry,broccoli,Vegetable,197,False,True,,16,50,5,Mediterranean,hard,drink
34,Veggie Stir Fry,carrot,Vegetable,68,False,True,,26,58,3,Mediterranean,medium,breakfast
34,Veggie Stir Fry,bell_pepper,Vegetable,188,False,False,,7,33,6,Indian,medium,snack
34,Veggie Stir Fry,garlic,Vegetable,36,False,True,rice,10,45,4,Indian,medium,drink
34,Veggie Stir Fry,corn,Vegetable,85,True,False,,20,24,2,Fusion,medium,lunch
35,Tuna Salad,tuna,Protein,37,False,True,walnut,29,16,3,Fusion,medium,drink
35,Tuna Salad,lettuce,Vegetable,54,False,False,mango,26,56,2,Mediterranean,hard,breakfast
35,Tuna Salad,tomato,Vegetable,113,False,False,,34,19,6,Indian,hard,snack
35,Tuna Salad,cucumber,Vegetable,206,False,True,rice,44,44,1,Mediterranean,easy,drink
35,Tuna Salad,lemon,Fruit,55,True,False,banana,14,44,5,International,easy,dinner
36,Almond Smoothie,almond,Nut,170,False,False,milk,8,26,4,Fusion,hard,snack
36,Almond Smoothie,banana,Fruit,238,False,False,,6,11,1,Mediterranean,hard,snack
36,Almond Smoothie,milk,Dairy,227,False,False,,33,0,6,Fusion,hard,drink
36,Almond Smoothie,oats,Grain,134,False,True,,9,9,3,Mediterranean,medium,lunch
37,Avocado Toast,bread,Grain,135,False,False,garlic,9,27,2,Indian,easy,snack
37,Avocado Toast,avocado,Fruit,57,False,False,blueberry,38,58,6,Fusion,medium,dinner
37,Avocado Toast,lemon,Fruit,128,False,False,,18,27,5,Indian,hard,dinner
37,Avocado Toast,tomato,Vegetable,228,False,False,potato,19,58,3,Indian,easy,lunch
38,Almond Smoothie,almond,Nut,231,False,False,,33,6,3,Indian,easy,lunch
38,Almond Smoothie,banana,Fruit,57,False,False,,27,33,5,Fusion,easy,drink
38,Almond Smoothie,milk,Dairy,80,False,False,,15,24,6,International,easy,lunch
38,Almond Smoothie,oats,Grain,206,False,True,yogurt,9,46,5,International,hard,dinner
39,Zucchini Pasta,pasta,Grain,62,True,False,bell_pepper,15,8,2,International,easy,breakfast
39,Zucchini Pasta,zucchini,Vegetable,109,False,False,garlic,24,30,5,Mediterranean,hard,breakfast
39,Zucchini Pasta,tomato,Vegetable,95,False,False,,39,42,5,International,easy,lunch
39,Zucchini Pasta,garlic,Vegetable,34,False,True,,42,21,3,International,hard,lunch
39,Zucchini Pasta,cheese,Dairy,161,False,False,lemon,43,42,5,International,hard,snack
40,Walnut Oatmeal,oats,Grain,163,False,True,zucchini,23,36,1,Fusion,hard,snack
40,Walnut Oatmeal,walnut,Nut,136,False,True,apple,42,10,1,Indian,hard,drink
40,Walnut Oatmeal,banana,Fruit,154,True,False,,43,47,6,International,easy,drink
40,Walnut Oatmeal,milk,Dairy,67,False,True,pear,37,59,1,Indian,medium,drink
41,Corn Salsa,corn,Vegetable,38,False,False,,38,6,5,Mediterranean,medium,breakfast
41,Corn Salsa,tomato,Vegetable,146,False,True,,40,39,1,Mediterranean,medium,dinner
41,Corn Salsa,onion,Vegetable,194,True,False,,28,14,3,Indian,easy,lunch
41,Corn Salsa,lemon,Fruit,141,False,False,,34,8,4,Mediterranean,medium,lunch
41,Corn Salsa,bell_pepper,Vegetable,202,False,False,,18,43,1,Mediterranean,easy,breakfast
42,Tuna Salad,tuna,Protein,134,False,True,lentils,16,41,1,Fusion,hard,lunch
42,Tuna Salad,lettuce,Vegetable,175,False,True,spinach,22,38,2,International,hard,dinner
42,Tuna Salad,tomato,Vegetable,135,False,False,,45,6,4,Mediterranean,easy,breakfast
42,Tuna Salad,cucumber,Vegetable,167,False,True,banana,41,10,1,Mediterranean,easy,snack
42,Tuna Salad,lemon,Fruit,171,False,False,,35,57,1,Fusion,medium,snack
43,Cheese Omelette,egg,Protein,175,True,True,,39,26,3,Indian,medium,snack
43,Cheese Omelette,cheese,Dairy,157,False,False,,19,41,4,International,medium,lunch
43,Cheese Omelette,bell_pepper,Vegetable,118,False,False,cherry,27,39,6,International,easy,lunch
43,Cheese Omelette,onion,Vegetable,227,True,False,,7,1,5,Indian,easy,drink
44,Pineapple Fried Rice,rice,Grain,180,False,False,,38,59,4,Indian,easy,breakfast
44,Pineapple Fried Rice,pineapple,Fruit,54,True,False,,6,29,4,Indian,easy,drink
44,Pineapple Fried Rice,egg,Protein,53,False,False,bell_pepper,42,14,5,Mediterranean,hard,dinner
44,Pineapple Fried Rice,onion,Vegetable,185,False,False,,24,20,2,Fusion,hard,dinner
44,Pineapple Fried Rice,carrot,Vegetable,250,False,False,,29,11,2,Indian,easy,lunch
45,Pineapple Fried Rice,rice,Grain,143,False,True,,27,30,1,Indian,medium,breakfast
45,Pineapple Fried Rice,pineapple,Fruit,207,False,False,chickpeas,34,31,5,International,easy,snack
45,Pineapple Fried Rice,egg,Protein,164,False,True,,24,25,3,Fusion,medium,snack
45,Pineapple Fried Rice,onion,Vegetable,119,False,True,,13,26,4,Mediterranean,medium,lunch
45,Pineapple Fried Rice,carrot,Vegetable,151,False,False,salmon,9,11,3,Fusion,easy,drink
46,Tomato Egg Scramble,tomato,Vegetable,203,False,True,,36,36,3,Fusion,medium,dinner
46,Tomato Egg Scramble,egg,Protein,32,True,False,,40,41,4,Mediterranean,hard,dinner
46,Tomato Egg Scramble,onion,Vegetable,177,False,False,carrot,26,54,2,International,hard,lunch
46,Tomato Egg Scramble,garlic,Vegetable,100,True,False,butter,42,57,6,Indian,easy,lunch
47,Zucchini Pasta,pasta,Grain,220,False,True,,25,2,1,Indian,easy,lunch
47,Zucchini Pasta,zucchini,Vegetable,176,False,False,tofu,42,3,1,Fusion,easy,breakfast
47,Zucchini Pasta,tomato,Vegetable,143,False,False,bread,11,36,2,International,easy,dinner
47,Zucchini Pasta,garlic,Vegetable,174,False,True,lentils,32,56,6,Mediterranean,easy,lunch
47,Zucchini Pasta,cheese,Dairy,105,False,True,,43,14,3,Mediterranean,hard,drink
48,Cauliflower Rice,cauliflower,Vegetable,145,False,True,,22,47,4,Mediterranean,hard,lunch
48,Cauliflower Rice,garlic,Vegetable,30,False,False,olive_oil,36,53,5,International,easy,drink
48,Cauliflower Rice,onion,Vegetable,209,False,True,,6,45,1,Mediterranean,hard,drink
48,Cauliflower Rice,egg,Protein,196,False,False,cream,36,60,2,Fusion,medium,snack
49,Almond Smoothie,almond,Nut,129,False,False,,34,12,1,Indian,easy,lunch
49,Almond Smoothie,banana,Fruit,123,False,False,,29,30,3,Fusion,medium,dinner
49,Almond Smoothie,milk,Dairy,109,False,True,cream,12,55,6,Fusion,medium,breakfast
49,Almond Smoothie,oats,Grain,81,False,True,,14,39,6,Indian,hard,dinner
50,Salmon Rice Bowl,salmon,Protein,30,False,False,,33,19,1,Mediterranean,easy,dinner
50,Salmon Rice Bowl,rice,Grain,238,False,False,,11,32,4,Mediterranean,easy,snack
50,Salmon Rice Bowl,cucumber,Vegetable,184,False,False,orange,25,59,6,International,medium,snack
50,Salmon Rice Bowl,avocado,Fruit,208,True,False,,36,20,6,Indian,medium,lunch
50,Salmon Rice Bowl,lemon,Fruit,223,False,False,,16,2,3,Indian,medium,lunch
51,Cauliflower Rice,cauliflower,Vegetable,71,False,True,yogurt,11,41,6,Mediterranean,hard,drink
51,Cauliflower Rice,garlic,Vegetable,50,False,False,milk,19,26,4,Indian,hard,snack
51,Cauliflower Rice,onion,Vegetable,147,False,False,,32,50,5,Mediterranean,hard,breakfast
51,Cauliflower Rice,egg,Protein,127,False,False,broccoli,9,27,5,International,medium,dinner
52,Beef Stew,beef,Protein,156,True,False,,12,51,2,Mediterranean,easy,lunch
52,Beef Stew,potato,Vegetable,51,False,True,,33,56,6,Indian,hard,snack
52,Beef Stew,carrot,Vegetable,223,False,True,,35,13,3,International,hard,dinner
52,Beef Stew,onion,Vegetable,66,False,False,,33,32,3,Indian,medium,dinner
52,Beef Stew,garlic,Vegetable,168,False,False,banana,31,6,2,Mediterranean,hard,snack
53,Zucchini Pasta,pasta,Grain,93,False,True,oats,37,29,4,Indian,hard,dinner
53,Zucchini Pasta,zucchini,Vegetable,164,False,False,,13,48,4,Indian,hard,lunch
53,Zucchini Pasta,tomato,Vegetable,205,False,False,chicken,41,4,5,Mediterranean,hard,drink
53,Zucchini Pasta,garlic,Vegetable,84,False,False,,15,7,3,Indian,easy,lunch
53,Zucchini Pasta,cheese,Dairy,211,False,True,chickpeas,9,46,2,International,medium,snack
54,Avocado Toast,bread,Grain,126,False,False,,40,44,2,Mediterranean,medium,snack
54,Avocado Toast,avocado,Fruit,88,False,True,,24,10,4,Mediterranean,medium,snack
54,Avocado Toast,lemon,Fruit,84,True,True,cherry,26,42,2,Mediterranean,hard,drink
54,Avocado Toast,tomato,Vegetable,202,False,True,,34,4,6,Mediterranean,easy,snack
55,Chickpea Curry,chickpeas,Legume,141,False,False,,24,33,4,Indian,hard,dinner
55,Chickpea Curry,tomato,Vegetable,128,False,False,lentils,6,25,4,Mediterranean,easy,lunch
55,Chickpea Curry,onion,Vegetable,186,False,False,,26,7,2,Fusion,medium,breakfast
55,Chickpea Curry,garlic,Vegetable,183,False,True,butter,5,25,5,Indian,easy,snack
55,Chickpea Curry,spinach,Vegetable,190,False,False,,5,13,6,Mediterranean,easy,lunch
56,Salmon Rice Bowl,salmon,Protein,73,False,False,almond,45,18,2,International,easy,snack
56,Salmon Rice Bowl,rice,Grain,32,False,False,potato,16,18,1,Mediterranean,hard,drink
56,Salmon Rice Bowl,cucumber,Vegetable,82,False,False,,21,45,3,Mediterranean,hard,breakfast
56,Salmon Rice Bowl,avocado,Fruit,234,True,False,,9,2,6,Fusion,medium,dinner
56,Salmon Rice Bowl,lemon,Fruit,40,False,False,,11,23,5,Mediterranean,medium,drink
57,Avocado Toast,bread,Grain,202,True,False,,36,44,3,Indian,medium,dinner
57,Avocado Toast,avocado,Fruit,34,False,False,,24,36,4,International,hard,lunch
57,Avocado Toast,lemon,Fruit,54,False,False,,24,10,3,Indian,medium,lunch
57,Avocado Toast,tomato,Vegetable,132,False,False,watermelon,32,3,1,International,hard,lunch
58,Carrot Lemon Soup,carrot,Vegetable,139,False,False,,32,31,5,International,medium,snack
58,Carrot Lemon Soup,lemon,Fruit,64,False,False,,11,56,4,Indian,medium,drink
58,Carrot Lemon Soup,onion,Vegetable,203,False,False,,29,23,6,Mediterranean,easy,dinner
58,Carrot Lemon Soup,garlic,Vegetable,134,False,False,,12,44,1,International,hard,snack
58,Carrot Lemon Soup,potato,Vegetable,167,False,False,orange,15,58,2,Mediterranean,medium,snack
59,Apple Banana Smoothie,apple,Fruit,203,False,False,,9,34,4,Fusion,hard,breakfast
59,Apple Banana Smoothie,banana,Fruit,88,False,True,grape,37,58,4,International,hard,drink
59,Apple Banana Smoothie,milk,Dairy,224,False,True,,25,40,4,Indian,medium,lunch
59,Apple Banana Smoothie,yogurt,Dairy,149,True,True,orange,16,59,6,Indian,easy,dinner
60,Corn Salsa,corn,Vegetable,197,False,False,,18,40,2,Fusion,easy,lunch
60,Corn Salsa,tomato,Vegetable,250,False,False,pasta,7,27,5,Fusion,medium,snack
60,Corn Salsa,onion,Vegetable,230,False,False,,44,0,6,International,hard,drink
60,Corn Salsa,lemon,Fruit,114,False,True,,12,40,2,Indian,easy,dinner
60,Corn Salsa,bell_pepper,Vegetable,38,False,False,bell_pepper,28,55,3,International,medium,snack
61,Broccoli Cheese Soup,broccoli,Vegetable,53,False,True,onion,13,55,5,Mediterranean,medium,dinner
61,Broccoli Cheese Soup,cheese,Dairy,217,False,False,tuna,6,45,6,Fusion,hard,dinner
61,Broccoli Cheese Soup,milk,Dairy,69,False,False,,37,23,3,Mediterranean,medium,breakfast
61,Broccoli Cheese Soup,onion,Vegetable,81,False,False,,11,8,2,International,easy,dinner
61,Broccoli Cheese Soup,garlic,Vegetable,97,False,False,mushroom,37,2,2,Fusion,medium,dinner
62,Almond Smoothie,almond,Nut,169,False,False,,45,59,5,Mediterranean,medium,lunch
62,Almond Smoothie,banana,Fruit,249,False,False,,7,52,1,Fusion,medium,lunch
62,Almond Smoothie,milk,Dairy,164,False,True,,14,39,6,Indian,hard,drink
62,Almond Smoothie,oats,Grain,52,False,False,,43,26,2,International,hard,dinner
63,Spinach Salad,spinach,Vegetable,230,False,False,potato,10,20,1,Indian,easy,lunch
63,Spinach Salad,tomato,Vegetable,156,False,False,,14,7,2,Indian,hard,snack
63,Spinach Salad,cucumber,Vegetable,187,False,False,tofu,36,29,6,Fusion,medium,breakfast
63,Spinach Salad,avocado,Fruit,122,False,False,,17,36,6,Fusion,medium,snack
63,Spinach Salad,lemon,Fruit,109,False,False,,9,47,3,Fusion,medium,drink
64,Corn Salsa,corn,Vegetable,125,False,False,,5,37,3,Indian,hard,drink
64,Corn Salsa,tomato,Vegetable,245,True,False,,8,22,4,Indian,easy,lunch
64,Corn Salsa,onion,Vegetable,129,False,False,,13,46,6,Fusion,hard,breakfast
64,Corn Salsa,lemon,Fruit,44,False,False,yogurt,34,51,1,International,easy,breakfast
64,Corn Salsa,bell_pepper,Vegetable,247,False,True,,35,26,6,Mediterranean,hard,drink
65,Almond Smoothie,almond,Nut,249,False,True,,10,3,5,Indian,hard,breakfast
65,Almond Smoothie,banana,Fruit,31,False,True,,32,31,2,International,medium,drink
65,Almond Smoothie,milk,Dairy,116,False,False,,7,60,2,Fusion,easy,dinner
65,Almond Smoothie,oats,Grain,233,False,False,,8,3,2,Fusion,medium,breakfast
66,Avocado Toast,bread,Grain,166,False,True,,24,53,5,Fusion,easy,snack
66,Avocado Toast,avocado,Fruit,102,False,True,egg,26,13,5,International,hard,snack
66,Avocado Toast,lemon,Fruit,214,False,False,,19,16,6,Indian,easy,dinner
66,Avocado Toast,tomato,Vegetable,65,False,True,corn,27,60,1,Mediterranean,medium,lunch
67,Walnut Oatmeal,oats,Grain,88,False,True,walnut,30,36,4,Fusion,easy,dinner
